OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-04-01T00:00:00,2018-04-30T23:59:59,Month,2018-04,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,150295,240765,161688,124852,103177
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-04-01T00:00:00,2018-04-30T23:59:59,Month,2018-04,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,198054,240464,162710,135188,98368
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-04-01T00:00:00,2018-04-30T23:59:59,Month,2018-04,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,184542,228828,155768,127744,86156
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-04-01T00:00:00,2018-04-30T23:59:59,Month,2018-04,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,213382,300006,192724,155729,110470
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-04-01T00:00:00,2018-04-30T23:59:59,Month,2018-04,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,168083,221271,143197,116913,93585
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-04-01T00:00:00,2018-04-30T23:59:59,Month,2018-04,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,179052,235550,157864,128324,98225
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-03-01T00:00:00,2018-03-31T23:59:59,Month,2018-03,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,148935,204700,127206,102200,80297
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-03-01T00:00:00,2018-03-31T23:59:59,Month,2018-03,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,168816,208602,143019,113802,86632
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-03-01T00:00:00,2018-03-31T23:59:59,Month,2018-03,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,151280,242377,162645,125555,104432
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-03-01T00:00:00,2018-03-31T23:59:59,Month,2018-03,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,195674,237664,160669,133366,97603
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-03-01T00:00:00,2018-03-31T23:59:59,Month,2018-03,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,184811,229264,156026,127640,86490
